17	5/2	3	3	22256900
17	7/2	3	3	25224800
17	7/2	3	4	25232700
17	7/2	4	3	25220200
17	7/2	4	4	25226300
17	9/2	4	4	27007000
17	9/2	4	5	27011900
17	9/2	5	4	27004000
17	9/2	5	5	27008000
17	11/2	5	5	28195100
17	11/2	5	6	28198400
17	11/2	6	5	28193000
17	11/2	6	6	28195800
17	13/2	6	6	29043800
17	13/2	6	7	29046100
17	13/2	7	6	29042200
17	13/2	7	7	29044300
17	15/2	7	7	29680200
17	15/2	7	8	29682000
17	15/2	8	7	29679000
17	15/2	8	8	29680600
17	17/2	8	8	30175200
17	17/2	8	9	30176700
17	17/2	9	8	30174300
17	17/2	9	9	30175600
17	19/2	9	9	30571300
17	19/2	9	10	30572400
17	19/2	10	9	30570500
17	19/2	10	10	30571500
17	21/2	10	10	30895300
17	21/2	10	11	30896200
17	21/2	11	10	30894600
17	21/2	11	11	30895500
17	23/2	11	11	31165300
17	23/2	11	12	31166100
17	23/2	12	11	31164700
17	23/2	12	12	31165500
17	25/2	12	12	31393800
17	25/2	12	13	31394400
17	25/2	13	12	31393300
17	25/2	13	13	31393900
17	27/2	13	13	31589600
17	27/2	13	14	31590200
17	27/2	14	13	31589200
17	27/2	14	14	31589700
17	29/2	14	14	31759300
17	29/2	14	15	31759800
17	29/2	15	14	31758900
17	29/2	15	15	31759400
17	31/2	15	15	31907800
17	31/2	15	16	31908200
17	31/2	16	15	31907500
17	31/2	16	16	31907900
17	33/2	16	16	32038800
17	33/2	16	17	32039200
18	1/2	0	0	0
18	1/2	0	1	243600
18	1/2	1	0	-1342100
18	1/2	1	1	-1260900
18	3/2	1	1	13745100
18	3/2	1	2	13777500
18	3/2	2	1	13727400
18	3/2	2	2	13746900
18	5/2	2	2	18747700
18	5/2	2	3	18760300
18	5/2	3	2	18740700
18	5/2	3	3	18749600
18	7/2	3	3	21249900
18	7/2	3	4	21256500
18	7/2	4	3	21246000
18	7/2	4	4	21251100
18	9/2	4	4	22751200
18	9/2	4	5	22755300
18	9/2	5	4	22748700
18	9/2	5	5	22752100
18	11/2	5	5	23752100
18	11/2	5	6	23754900
18	11/2	6	5	23750400
18	11/2	6	6	23752700
18	13/2	6	6	24467000
18	13/2	6	7	24469100
18	13/2	7	6	24465700
18	13/2	7	7	24467500
18	15/2	7	7	25003200
18	15/2	7	8	25004700
18	15/2	8	7	25002200
18	15/2	8	8	25003500
18	17/2	8	8	25420200
18	17/2	8	9	25421400
18	17/2	9	8	25419400
18	17/2	9	9	25420500
18	19/2	9	9	25753800
18	19/2	9	10	25754800
18	19/2	10	9	25753200
18	19/2	10	10	25754100
18	21/2	10	10	26026800
18	21/2	10	11	26027600
18	21/2	11	10	26026300
18	21/2	11	11	26027000
18	23/2	11	11	26254300
18	23/2	11	12	26254900
18	23/2	12	11	26253800
18	23/2	12	12	26254400
18	25/2	12	12	26446700
18	25/2	12	13	26447300
18	25/2	13	12	26446300
18	25/2	13	13	26446900
18	27/2	13	13	26611700
18	27/2	13	14	26612200
18	27/2	14	13	26611400
18	27/2	14	14	26611800
18	29/2	14	14	26754700
18	29/2	14	15	26755100
18	29/2	15	14	26754400
18	29/2	15	15	26754800
18	31/2	15	15	26879800
18	31/2	15	16	26880100
18	31/2	16	15	26879500
18	31/2	16	16	26879900
18	33/2	16	16	26990200
18	33/2	16	17	26990500
18	33/2	17	16	26989900
18	33/2	17	17	26990200
18	35/2	17	17	27088300
18	35/2	17	18	27088600
19	1/2	0	0	0
19	1/2	0	1	207100
19	1/2	1	0	-1141200
19	1/2	1	1	-1072100
19	3/2	1	1	11687000
19	3/2	1	2	11714600
19	3/2	2	1	11672000
19	3/2	2	2	11688500
19	5/2	2	2	15940600
19	5/2	2	3	15951300
19	5/2	3	2	15934600
19	5/2	3	3	15942200
19	7/2	3	3	18068100
19	7/2	3	4	18073800
19	7/2	4	3	18064800
19	7/2	4	4	18069200
19	9/2	4	4	19344700
19	9/2	4	5	19348200
19	9/2	5	4	19342500
19	9/2	5	5	19345400
19	11/2	5	5	20195700
19	11/2	5	6	20198100
19	11/2	6	5	20194200
19	11/2	6	6	20196200
19	13/2	6	6	20803600
19	13/2	6	7	20805300
19	13/2	7	6	20802400
19	13/2	7	7	20803900
19	15/2	7	7	21259400
19	15/2	7	8	21260700
19	15/2	8	7	21258600
